"country","continent","year","lifeExp","pop","gdpPercap","order"
"Sao Tome and Principe","Africa",1992,62.742,125911,1428.7778,477
"Sao Tome and Principe","Africa",1997,63.306,145608,1339.076,478
"Sao Tome and Principe","Africa",2002,64.337,170372,1353.0924,479
"Sao Tome and Principe","Africa",2007,65.528,199579,1598.4351,480
"Senegal","Africa",1952,37.278,2755589,1450.357,481
"Senegal","Africa",1957,39.329,3054547,1567.653,482
"Senegal","Africa",1962,41.454,3430243,1654.9887,483
"Senegal","Africa",1967,43.563,3965841,1612.4046,484
"Senegal","Africa",1972,45.815,4588696,1597.7121,485
"Senegal","Africa",1977,48.879,5260855,1561.7691,486
"Senegal","Africa",1982,52.379,6147783,1518.48,487
"Senegal","Africa",1987,55.769,7171347,1441.7207,488
"Senegal","Africa",1992,58.196,8307920,1367.8994,489
"Senegal","Africa",1997,60.187,9535314,1392.3683,490
"Senegal","Africa",2002,61.6,10870037,1519.6353,491
"Senegal","Africa",2007,63.062,12267493,1712.4721,492
"Sierra Leone","Africa",1952,30.331,2143249,879.7877,493
"Sierra Leone","Africa",1957,31.57,2295678,1004.4844,494
"Sierra Leone","Africa",1962,32.767,2467895,1116.6399,495
"Sierra Leone","Africa",1967,34.113,2662190,1206.0435,496
"Sierra Leone","Africa",1972,35.4,2879013,1353.7598,497
"Sierra Leone","Africa",1977,36.788,3140897,1348.2852,498
"Sierra Leone","Africa",1982,38.445,3464522,1465.0108,499
"Sierra Leone","Africa",1987,40.006,3868905,1294.4478,500
"Sierra Leone","Africa",1992,38.333,4260884,1068.6963,501
"Sierra Leone","Africa",1997,39.897,4578212,574.6482,502
"Sierra Leone","Africa",2002,41.012,5359092,699.4897,503
"Sierra Leone","Africa",2007,42.568,6144562,862.5408,504
"Somalia","Africa",1952,32.978,2526994,1135.7498,505
"Somalia","Africa",1957,34.977,2780415,1258.1474,506
"Somalia","Africa",1962,36.981,3080153,1369.4883,507
"Somalia","Africa",1967,38.977,3428839,1284.7332,508
"Somalia","Africa",1972,40.973,3840161,1254.5761,509
"Somalia","Africa",1977,41.974,4353666,1450.9925,510
"Somalia","Africa",1982,42.955,5828892,1176.807,511
"Somalia","Africa",1987,44.501,6921858,1093.245,512
"Somalia","Africa",1992,39.658,6099799,926.9603,513
"Somalia","Africa",1997,43.795,6633514,930.5964,514
"Somalia","Africa",2002,45.936,7753310,882.0818,515
"Somalia","Africa",2007,48.159,9118773,926.1411,516
"South Africa","Africa",1952,45.009,14264935,4725.2955,517
"South Africa","Africa",1957,47.985,16151549,5487.1042,518
"South Africa","Africa",1962,49.951,18356657,5768.7297,519
"South Africa","Africa",1967,51.927,20997321,7114.478,520
"South Africa","Africa",1972,53.696,23935810,7765.9626,521
"South Africa","Africa",1977,55.527,27129932,8028.6514,522
"South Africa","Africa",1982,58.161,31140029,8568.2662,523
"South Africa","Africa",1987,60.834,35933379,7825.8234,524
"South Africa","Africa",1992,61.888,39964159,7225.0693,525
"South Africa","Africa",1997,60.236,42835005,7479.1882,526
"South Africa","Africa",2002,53.365,44433622,7710.9464,527
"South Africa","Africa",2007,49.339,43997828,9269.6578,528
"Sudan","Africa",1952,38.635,8504667,1615.9911,529
"Sudan","Africa",1957,39.624,9753392,1770.3371,530
"Sudan","Africa",1962,40.87,11183227,1959.5938,531
"Sudan","Africa",1967,42.858,12716129,1687.9976,532
"Sudan","Africa",1972,45.083,14597019,1659.6528,533
"Sudan","Africa",1977,47.8,17104986,2202.9884,534
"Sudan","Africa",1982,50.338,20367053,1895.5441,535
"Sudan","Africa",1987,51.744,24725960,1507.8192,536
"Sudan","Africa",1992,53.556,28227588,1492.197,537
"Sudan","Africa",1997,55.373,32160729,1632.2108,538
"Sudan","Africa",2002,56.369,37090298,1993.3983,539
"Sudan","Africa",2007,58.556,42292929,2602.395,540
"Swaziland","Africa",1952,41.407,290243,1148.3766,541
"Swaziland","Africa",1957,43.424,326741,1244.7084,542
"Swaziland","Africa",1962,44.992,370006,1856.1821,543
"Swaziland","Africa",1967,46.633,420690,2613.1017,544
"Swaziland","Africa",1972,49.552,480105,3364.8366,545
"Swaziland","Africa",1977,52.537,551425,3781.4106,546
"Swaziland","Africa",1982,55.561,649901,3895.384,547
"Swaziland","Africa",1987,57.678,779348,3984.8398,548
"Swaziland","Africa",1992,58.474,962344,3553.0224,549
"Swaziland","Africa",1997,54.289,1054486,3876.7685,550
"Swaziland","Africa",2002,43.869,1130269,4128.1169,551
"Swaziland","Africa",2007,39.613,1133066,4513.4806,552
"Tanzania","Africa",1952,41.215,8322925,716.6501,553
"Tanzania","Africa",1957,42.974,9452826,698.5356,554
"Tanzania","Africa",1962,44.246,10863958,722.0038,555
"Tanzania","Africa",1967,45.757,12607312,848.2187,556
"Tanzania","Africa",1972,47.62,14706593,915.9851,557
"Tanzania","Africa",1977,49.919,17129565,962.4923,558
"Tanzania","Africa",1982,50.608,19844382,874.2426,559
"Tanzania","Africa",1987,51.535,23040630,831.8221,560
"Tanzania","Africa",1992,50.44,26605473,825.6825,561
"Tanzania","Africa",1997,48.466,30686889,789.1862,562
"Tanzania","Africa",2002,49.651,34593779,899.0742,563
"Tanzania","Africa",2007,52.517,38139640,1107.4822,564
"Togo","Africa",1952,38.596,1219113,859.8087,565
"Togo","Africa",1957,41.208,1357445,925.9083,566
"Togo","Africa",1962,43.922,1528098,1067.5348,567
"Togo","Africa",1967,46.769,1735550,1477.5968,568
"Togo","Africa",1972,49.759,2056351,1649.6602,569
"Togo","Africa",1977,52.887,2308582,1532.777,570
"Togo","Africa",1982,55.471,2644765,1344.578,571
"Togo","Africa",1987,56.941,3154264,1202.2014,572
"Togo","Africa",1992,58.061,3747553,1034.2989,573
"Togo","Africa",1997,58.39,4320890,982.2869,574
"Togo","Africa",2002,57.561,4977378,886.2206,575
"Togo","Africa",2007,58.42,5701579,882.9699,576
"Tunisia","Africa",1952,44.6,3647735,1468.4756,577
"Tunisia","Africa",1957,47.1,3950849,1395.2325,578
"Tunisia","Africa",1962,49.579,4286552,1660.3032,579
"Tunisia","Africa",1967,52.053,4786986,1932.3602,580
"Tunisia","Africa",1972,55.602,5303507,2753.286,581
"Tunisia","Africa",1977,59.837,6005061,3120.8768,582
"Tunisia","Africa",1982,64.048,6734098,3560.2332,583
"Tunisia","Africa",1987,66.894,7724976,3810.4193,584
"Tunisia","Africa",1992,70.001,8523077,4332.7202,585
"Tunisia","Africa",1997,71.973,9231669,4876.7986,586
"Tunisia","Africa",2002,73.042,9770575,5722.8957,587
"Tunisia","Africa",2007,73.923,10276158,7092.923,588
"Uganda","Africa",1952,39.978,5824797,734.7535,589
"Uganda","Africa",1957,42.571,6675501,774.3711,590
"Uganda","Africa",1962,45.344,7688797,767.2717,591
"Uganda","Africa",1967,48.051,8900294,908.9185,592
"Uganda","Africa",1972,51.016,10190285,950.7359,593
"Uganda","Africa",1977,50.35,11457758,843.7331,594
"Uganda","Africa",1982,49.849,12939400,682.2662,595
"Uganda","Africa",1987,51.509,15283050,617.7244,596
"Uganda","Africa",1992,48.825,18252190,644.1708,597
"Uganda","Africa",1997,44.578,21210254,816.5591,598
"Uganda","Africa",2002,47.813,24739869,927.721,599
"Uganda","Africa",2007,51.542,29170398,1056.3801,600
"Zambia","Africa",1952,42.038,2672000,1147.3888,601
"Zambia","Africa",1957,44.077,3016000,1311.9568,602
"Zambia","Africa",1962,46.023,3421000,1452.7258,603
"Zambia","Africa",1967,47.768,3900000,1777.0773,604
"Zambia","Africa",1972,50.107,4506497,1773.4983,605
"Zambia","Africa",1977,51.386,5216550,1588.6883,606
"Zambia","Africa",1982,51.821,6100407,1408.6786,607
"Zambia","Africa",1987,50.821,7272406,1213.3151,608
"Zambia","Africa",1992,46.1,8381163,1210.8846,609
"Zambia","Africa",1997,40.238,9417789,1071.3538,610
"Zambia","Africa",2002,39.193,10595811,1071.6139,611
"Zambia","Africa",2007,42.384,11746035,1271.2116,612
"Zimbabwe","Africa",1952,48.451,3080907,406.8841,613
"Zimbabwe","Africa",1957,50.469,3646340,518.7643,614
"Zimbabwe","Africa",1962,52.358,4277736,527.2722,615
"Zimbabwe","Africa",1967,53.995,4995432,569.7951,616
"Zimbabwe","Africa",1972,55.635,5861135,799.3622,617
"Zimbabwe","Africa",1977,57.674,6642107,685.5877,618
"Zimbabwe","Africa",1982,60.363,7636524,788.855,619
"Zimbabwe","Africa",1987,62.351,9216418,706.1573,620
"Zimbabwe","Africa",1992,60.377,10704340,693.4208,621
"Zimbabwe","Africa",1997,46.809,11404948,792.45,622
"Zimbabwe","Africa",2002,39.989,11926563,672.0386,623
"Zimbabwe","Africa",2007,43.487,12311143,469.7093,624
